# AI0: U_in (V)	# AI1: U_out (V)	
-8.50627	-7.63475
-8.35117	-7.63475
-8.23956	-7.63475
-8.15682	-7.63475
-8.09647	-7.63475
-8.05656	-7.63507
-8.02314	-7.63507
-7.9855	-7.6354
-7.94559	-7.63442
-7.86772	-7.63475
-7.73209	-7.63507
-7.57537	-7.63442
-7.37258	-7.63507
-7.22267	-7.63507
-7.06271	-7.63507
-6.8888	-7.63475
-6.72819	-7.63507
-6.53773	-7.63507
-6.38101	-7.63475
-6.25252	-7.63442
-6.12565	-7.63507
-6.02085	-7.63442
-5.95369	-7.63475
-5.90469	-7.63475
-5.87711	-7.63475
-5.85505	-7.63507
-5.83753	-7.6354
-5.82098	-7.63475
-5.80605	-7.63507
-5.79372	-7.63442
-5.77945	-7.63475
-5.80249	-7.63507
-5.97672	-7.63442
-6.3106	-7.63507
-6.70645	-7.63475
-6.99425	-7.63475
-7.27362	-7.63442
-7.45986	-7.63507
-7.58348	-7.63475
-7.6805	-7.63507
-7.75967	-7.63475
-7.79601	-7.63475
-7.80607	-7.63475
-7.81613	-7.63507
-7.84143	-7.63507
-7.9352	-7.63507
-7.98842	-7.63507
-8.02703	-7.63475
-8.04455	-7.63475
-8.05461	-7.63507
-8.04423	-7.63507
-8.02378	-7.63507
-7.90438	-7.63442
-7.67433	-7.6354
-7.42157	-7.63442
-7.16816	-7.63475
-6.88393	-7.63442
-6.58932	-7.63507
-6.3265	-7.63507
-6.12338	-7.63507
-5.9592	-7.63475
-5.76095	-7.63507
-5.57828	-7.63442
-5.45012	-7.63475
-5.20839	-7.63475
-4.96017	-7.63475
-4.72201	-7.63475
-4.48515	-7.63507
-4.12889	-7.63475
-3.76744	-7.6354
-3.39852	-7.63475
-2.91345	-7.63475
-2.28885	-7.63475
-1.71325	-7.63475
-1.0932	-7.63442
-0.540312	-7.61431
0.00446375	-2.79177
0.320492	8.4172
0.466176	8.41655
0.544372	8.41461
0.565138	8.41558
0.575845	8.41396
0.564489	8.4159
0.544048	8.41493
0.491809	8.41688
0.342556	8.41753
0.184541	8.42109
-0.0377166	-7.52638
-0.279443	-7.59095
-0.605529	-7.61755
-0.994562	-7.63475
-1.53155	-7.6354
-2.13376	-7.63475
-2.76776	-7.63572
-3.33525	-7.63475
-3.71844	-7.6354
