# AI0: U_in (V)	# AI1: U_out (V)	
0.108941	8.42012
0.121595	8.4198
0.134249	8.41915
0.152744	8.41915
0.167345	8.41915
0.178377	8.42012
0.188435	8.41817
0.201414	8.4198
0.217637	8.41915
0.235158	8.41882
0.246514	8.41817
0.256897	8.4172
0.267604	8.4185
0.280583	8.41688
0.290641	8.41688
0.280583	8.41753
0.2702	8.4172
0.260142	8.41817
0.249759	8.41785
0.237105	8.4185
0.220557	8.41882
0.205307	8.41882
0.189084	8.41947
0.170914	8.41915
0.156313	8.42012
0.14593	8.41947
0.135872	8.42012
0.123218	8.41947
0.111861	8.42012
0.0936914	8.42077
0.0768193	8.42077
0.0664364	8.42077
0.0547557	8.42109
0.0433995	8.42077
0.0304209	8.42142
0.0138732	8.42142
0.00284143	8.42174
-0.00494571	-7.467
-0.00948821	-7.48679
-0.0153286	-7.4988
-0.0250625	-7.5121
-0.0351209	-7.52248
-0.0461527	-7.53059
-0.0575089	-7.53708
-0.0682163	-7.54195
-0.0828172	-7.54812
-0.0944979	-7.55168
-0.107152	-7.55655
-0.119482	-7.5598
-0.135705	-7.56466
-0.153226	-7.56791
-0.16588	-7.57115
-0.179508	-7.57342
-0.194433	-7.57634
-0.212603	-7.57926
-0.233369	-7.58283
-0.249916	-7.58543
-0.263868	-7.5877
-0.27782	-7.589
-0.293395	-7.59095
-0.306698	-7.59289
-0.321623	-7.59419
-0.333628	-7.59516
-0.344984	-7.59711
-0.364128	-7.59938
-0.375808	-7.60003
-0.392681	-7.60165
-0.403063	-7.60263
-0.413771	-7.60392
-0.430967	-7.6049
-0.44427	-7.60587
-0.458547	-7.60749
-0.475743	-7.60847
-0.493265	-7.60976
-0.515004	-7.61074
-0.525711	-7.61171
-0.537716	-7.61236
-0.550695	-7.61333
-0.564322	-7.61398
-0.574381	-7.61431
-0.584763	-7.61431
-0.595795	-7.6156
-0.605854	-7.61625
-0.615912	-7.61625
-0.629215	-7.6169
-0.642194	-7.61755
-0.655497	-7.61788
-0.645114	-7.61723
-0.631162	-7.6169
-0.619481	-7.61593
-0.6078	-7.6156
-0.591577	-7.6156
-0.576652	-7.61463
-0.56562	-7.61398
-0.545179	-7.61268
-0.533823	-7.61204
-0.515004	-7.61106
-0.50235	-7.61041
-0.48418	-7.60912
-0.472823	-7.60879
-0.460169	-7.60717
-0.450111	-7.60652
-0.434212	-7.60555
-0.417664	-7.60425
-0.403388	-7.60295
-0.391058	-7.60198
-0.380026	-7.60035
-0.367372	-7.60003
-0.347256	-7.59743
-0.334277	-7.59646
-0.321298	-7.59484
-0.305724	-7.59289
-0.290474	-7.59127
-0.268411	-7.58835
-0.257054	-7.58673
-0.241156	-7.58413
-0.228177	-7.58251
-0.216172	-7.58056
-0.202544	-7.57894
-0.183077	-7.57505
-0.166204	-7.57148
-0.154524	-7.56921
-0.141221	-7.56629
-0.128567	-7.56272
-0.116237	-7.5598
-0.10553	-7.55623
-0.0932	-7.55233
-0.0802214	-7.54747
-0.061727	-7.53968
-0.0471261	-7.53157
-0.0257114	-7.51372
-0.00299893	-7.45402
0.0122509	8.42174
0.0268518	8.42207
0.0391814	8.42142
0.057027	8.42077
0.0693566	8.42142
0.0875266	8.42109
0.101803	8.42045
0.118675	8.42012
0.135223	8.42012
0.167345	8.41915
0.207578	8.41915
0.238403	8.41817
0.262737	8.41817
0.279285	8.41753
0.289992	8.41785
0.304269	8.4172
0.31595	8.4172
0.331524	8.41753
0.350667	8.41688
0.362997	8.41688
0.350992	8.4172
0.340284	8.4172
0.327306	8.4172
0.306865	8.41785
0.289019	8.41753
0.268902	8.41817
0.248136	8.41817
0.217961	8.41915
0.184866	8.41915
0.162153	8.42012
0.145281	8.42012
0.128085	8.42077
0.108617	8.42012
0.0936914	8.42077
0.079415	8.42077
0.0677343	8.42109
0.057027	8.42077
0.0459952	8.42142
0.0229582	8.42142
0.006735	8.42174
-0.00883929	-7.48387
-0.0250625	-7.51242
-0.0373921	-7.52346
-0.051993	-7.53319
-0.0656205	-7.54065
-0.0795725	-7.54714
-0.0912532	-7.55136
-0.103907	-7.55558
-0.129864	-7.56337
-0.147386	-7.56726
-0.170747	-7.57213
-0.18989	-7.5757
-0.206114	-7.57862
-0.224608	-7.58154
-0.243427	-7.58446
-0.256081	-7.58608
-0.273602	-7.58867
-0.294692	-7.59159
-0.320974	-7.59484
-0.342389	-7.59679
-0.370293	-7.59971
-0.391707	-7.60133
-0.416691	-7.60392
-0.437457	-7.60522
-0.457249	-7.60717
-0.474446	-7.60814
-0.497483	-7.61009
-0.517924	-7.61106
-0.5322	-7.61204
-0.546152	-7.61268
-0.564971	-7.61398
-0.581194	-7.61398
-0.592875	-7.61528
-0.604231	-7.61528
-0.615263	-7.61625
-0.627917	-7.61658
-0.64122	-7.61723
-0.652252	-7.61755
-0.633433	-7.61723
-0.622401	-7.61658
-0.601636	-7.6156
-0.583466	-7.61528
-0.556535	-7.61333
-0.531551	-7.61236
-0.497483	-7.60976
-0.463089	-7.60749
-0.436808	-7.60555
-0.415718	-7.60425
-0.390085	-7.60133
-0.374511	-7.60068
-0.352447	-7.59776
-0.329086	-7.59549
-0.312538	-7.59387
-0.29891	-7.59224
-0.278794	-7.58965
