# Zeit (s)	# Kanal 2 (V)	# D0-D7	
0.09	0.680078	0
0.092	0.701172	0
0.094	0.726953	0
0.096	0.753125	0
0.098	0.778906	0
0.1	0.801953	0
0.102	0.820313	0
0.104	0.833203	0
0.106	0.840625	0
0.108	0.841406	0
0.11	0.836719	0
0.112	0.828125	0
0.114	0.817188	0
0.116	0.804688	0
0.118	0.791797	0
0.12	0.78125	0
0.122	0.773438	0
0.124	0.769141	0
0.126	0.768359	0
0.128	0.771094	0
0.13	0.776953	0
0.132	0.785938	0
0.134	0.796875	0
0.136	0.809766	0
0.138	0.822266	0
0.14	0.834766	0
0.142	0.846484	0
0.144	0.85625	0
0.146	0.864844	0
0.148	0.871094	0
0.15	0.876563	0
0.152	0.879688	0
0.154	0.880859	0
0.156	0.880078	0
0.158	0.877734	0
0.16	0.874219	0
0.162	0.870313	0
0.164	0.866797	0
0.166	0.863672	0
0.168	0.861719	0
0.17	0.861719	0
0.172	0.862891	0
0.174	0.866016	0
0.176	0.869922	0
0.178	0.875	0
0.18	0.88125	0
0.182	0.888672	0
0.184	0.896094	0
0.186	0.903125	0
0.188	0.909766	0
0.19	0.915234	0
0.192	0.919141	0
0.194	0.921484	0
0.196	0.921484	0
0.198	0.919531	0
0.2	0.914844	0
0.202	0.908594	0
0.204	0.9	0
0.206	0.890234	0
0.208	0.879688	0
0.21	0.870313	0
0.212	0.862891	0
0.214	0.85625	0
0.216	0.851563	0
0.218	0.848047	0
0.22	0.845313	0
0.222	0.843359	0
0.224	0.842188	0
0.226	0.841016	0
0.228	0.839453	0
0.23	0.837109	0
0.232	0.832813	0
0.234	0.827734	0
0.236	0.821094	0
0.238	0.8125	0
0.24	0.802734	0
0.242	0.791406	0
0.244	0.780469	0
0.246	0.769531	0
0.248	0.759375	0
0.25	0.750391	0
0.252	0.743359	0
0.254	0.738672	0
0.256	0.736328	0
0.258	0.736328	0
0.26	0.738672	0
0.262	0.742969	0
0.264	0.748047	0
0.266	0.753516	0
0.268	0.758203	0
0.27	0.761719	0
0.272	0.764063	0
0.274	0.764844	0
0.276	0.764063	0
0.278	0.761719	0
0.28	0.757422	0
0.282	0.752734	0
0.284	0.747266	0
0.286	0.741406	0
0.288	0.736328	0
0.29	0.731641	0
0.292	0.728516	0
0.294	0.726172	0
0.296	0.725781	0
0.298	0.726953	0
0.3	0.730078	0
0.302	0.734766	0
0.304	0.741016	0
0.306	0.747656	0
0.308	0.753906	0
0.31	0.759375	0
0.312	0.764063	0
0.314	0.766797	0
0.316	0.767188	0
0.318	0.765234	0
0.32	0.760938	0
0.322	0.755078	0
0.324	0.748438	0
0.326	0.741406	0
0.328	0.734375	0
0.33	0.729297	0
0.332	0.725	0
0.334	0.723047	0
0.336	0.722656	0
0.338	0.724219	0
0.34	0.727344	0
0.342	0.732031	0
0.344	0.737891	0
0.346	0.744141	0
0.348	0.749609	0
0.35	0.754688	0
0.352	0.758203	0
0.354	0.760547	0
0.356	0.761328	0
0.358	0.760547	0
0.36	0.758594	0
0.362	0.755469	0
0.364	0.752344	0
0.366	0.749219	0
0.368	0.746875	0
0.37	0.744922	0
0.372	0.744531	0
0.374	0.744922	0
0.376	0.746484	0
0.378	0.75	0
0.38	0.754297	0
0.382	0.760547	0
0.384	0.767578	0
0.386	0.775391	0
0.388	0.783203	0
0.39	0.791016	0
0.392	0.798047	0
0.394	0.804297	0
0.396	0.808984	0
0.398	0.812109	0
0.4	0.813281	0
0.402	0.812891	0
0.404	0.810938	0
