I_Baus (A)	U_BEaus (V)	I_Caus (A)	U_CEaus (V)
0.000078	0.685604	0.036168	3.988345
0.000078	0.686318	0.035942	3.811063
0.000078	0.687000	0.035683	3.636720
0.000078	0.687682	0.035391	3.465331
0.000078	0.688461	0.035057	3.298537
0.000078	0.689062	0.034681	3.135250
0.000078	0.689727	0.034260	2.977239
0.000078	0.690458	0.033786	2.823611
0.000078	0.691123	0.033264	2.675795
0.000078	0.691724	0.032688	2.533012
0.000078	0.692292	0.032063	2.394645
0.000078	0.692877	0.031389	2.261684
0.000077	0.693477	0.030667	2.133220
0.000077	0.693932	0.029905	2.009480
0.000077	0.694598	0.029101	1.889069
0.000077	0.695166	0.028273	1.772099
0.000077	0.695507	0.027422	1.657597
0.000077	0.696172	0.026545	1.544686
0.000077	0.696513	0.025654	1.434064
0.000077	0.697033	0.024742	1.324838
0.000077	0.697455	0.023819	1.217592
0.000077	0.697812	0.022879	1.111727
0.000077	0.698104	0.021923	1.006560
0.000077	0.698461	0.020958	0.903390
0.000077	0.698624	0.019980	0.800804
0.000077	0.698900	0.018993	0.700166
0.000077	0.699127	0.017993	0.599772
0.000077	0.699289	0.016988	0.500822
0.000077	0.699338	0.015973	0.402522
0.000077	0.699273	0.014927	0.306836
0.000077	0.697633	0.013674	0.231995
0.000077	0.693591	0.012100	0.188941
0.000078	0.687763	0.010385	0.160466
0.000078	0.680749	0.008606	0.137997
0.000078	0.672015	0.006812	0.117964
0.000078	0.661236	0.005012	0.098564
0.000078	0.647128	0.003218	0.077394
0.000079	0.626169	0.001485	0.051078
0.000080	0.582222	-0.000038	0.002764
0.000097	0.591979	-0.000040	0.003089
0.000097	0.632744	0.001526	0.046808
0.000096	0.653443	0.003276	0.071371
0.000096	0.668022	0.005083	0.091096
0.000096	0.679321	0.006901	0.108938
0.000095	0.688623	0.008719	0.126471
0.000095	0.696611	0.010532	0.145514
0.000095	0.703364	0.012308	0.167496
0.000095	0.708965	0.014022	0.196620
0.000095	0.713056	0.015572	0.242044
0.000095	0.714858	0.016810	0.318963
0.000095	0.715654	0.017877	0.412198
0.000095	0.716271	0.018921	0.507186
0.000095	0.716806	0.019969	0.603067
0.000095	0.717342	0.021000	0.699370
0.000095	0.717748	0.022032	0.796469
0.000095	0.718105	0.023050	0.894120
0.000095	0.718397	0.024066	0.993183
0.000095	0.718560	0.025068	1.093074
0.000095	0.718608	0.026055	1.193923
0.000095	0.718803	0.027034	1.296379
0.000095	0.718787	0.027996	1.399728
0.000095	0.718706	0.028948	1.505090
0.000095	0.718754	0.029879	1.611621
0.000095	0.718657	0.030793	1.720100
0.000095	0.718543	0.031690	1.830998
0.000095	0.718332	0.032561	1.943779
0.000095	0.718024	0.033408	2.059726
0.000095	0.717715	0.034214	2.178920
0.000095	0.717163	0.034987	2.302417
0.000095	0.716660	0.035717	2.429907
0.000095	0.716108	0.036405	2.561244
0.000095	0.715491	0.037052	2.697582
0.000095	0.714696	0.037657	2.837150
0.000095	0.713965	0.038225	2.981508
0.000095	0.713105	0.038753	3.129340
0.000095	0.712228	0.039244	3.280906
0.000095	0.710929	0.039700	3.435297
0.000095	0.709890	0.040126	3.593032
0.000095	0.708770	0.040522	3.754388
0.000095	0.707488	0.040894	3.917189
0.000095	0.706221	0.041242	4.083155
0.000095	0.704858	0.041572	4.250339
0.000095	0.703527	0.041882	4.420121
0.000095	0.702049	0.042180	4.590357
0.000095	0.700539	0.042465	4.761535
0.000095	0.699013	0.042743	4.934418
0.000095	0.697406	0.043011	5.107691
0.000095	0.695701	0.043277	5.281678
0.000095	0.694029	0.043541	5.455372
0.000095	0.692276	0.043796	5.629457
0.000095	0.688542	0.044027	5.606404
0.000095	0.688282	0.043872	5.421799
0.000095	0.688445	0.043691	5.239890
0.000095	0.688656	0.043482	5.059896
0.000095	0.688867	0.043248	4.882727
0.000095	0.689224	0.042986	4.708334
0.000095	0.689565	0.042698	4.536994
0.000095	0.689971	0.042381	4.368592
0.000095	0.690425	0.042033	4.202431
0.000095	0.690880	0.041657	4.040069
0.000095	0.691513	0.041244	3.880206
0.000095	0.692032	0.040802	3.724338
0.000095	0.692422	0.040327	3.570742
0.000095	0.693088	0.039819	3.421514
0.000095	0.693623	0.039279	3.275614
0.000095	0.694240	0.038700	3.132587
0.000095	0.694825	0.038092	2.993067
0.000095	0.695507	0.037446	2.856697
0.000095	0.695977	0.036770	2.724418
0.000095	0.696692	0.036057	2.594509
0.000095	0.697179	0.035316	2.468837
0.000095	0.697698	0.034543	2.345990
0.000095	0.698185	0.033741	2.225741
0.000095	0.698802	0.032917	2.108138
0.000095	0.699306	0.032073	1.992288
0.000095	0.699890	0.031215	1.878273
0.000095	0.700280	0.030338	1.765751
0.000095	0.700783	0.029448	1.654869
0.000095	0.701221	0.028544	1.545465
0.000095	0.701513	0.027624	1.437083
0.000095	0.702130	0.026693	1.330536
0.000095	0.702455	0.025745	1.224703
0.000095	0.702845	0.024793	1.120591
